id,title,category,content,source,keywords
K001,软物质的定义与特征,基本概念,软物质是指由大分子或胶体粒子等组成的一类材料，其特征能量尺度在室温热能(kT)附近，因此受热涨落影响显著。典型的软物质包括高分子、表面活性剂、胶体、液晶和生物大分子等。软物质的核心特征是自组装性和对外界刺激的敏感性。,课程讲义,"软物质,定义,自组装,热涨落,kT"
K002,高分子的基本概念,高分子科学,高分子是由重复单体单元通过共价键连接而成的大分子。按来源分为天然高分子(如纤维素、蛋白质)和合成高分子(如聚乙烯、聚苯乙烯)。高分子的关键参数包括分子量(数均分子量Mn和重均分子量Mw)、多分散性指数(PDI=Mw/Mn)和链构象。,课程讲义,"高分子,单体,分子量,多分散性,链构象"
K003,Flory-Huggins 理论,高分子科学,Flory-Huggins 理论描述高分子溶液的混合自由能: ΔG_mix/(kT) = n_1 ln φ_1 + n_2 ln φ_2 + n_1 φ_2 χ。其中χ为Flory-Huggins相互作用参数，反映高分子-溶剂相互作用。χ>0.5时倾向于相分离，χ<0.5时混合性较好。,课程讲义,"Flory-Huggins,混合自由能,相互作用参数,相分离,高分子溶液"
K004,胶体分散体系,胶体科学,胶体是分散相尺寸在1nm-1μm范围内的分散体系。按分散介质分类: 溶胶(液态)、气溶胶(气态)、固溶胶(固态)。胶体粒子的稳定性由DLVO理论描述，考虑van der Waals引力和双电层排斥力的平衡。,课程讲义,"胶体,分散体系,DLVO理论,van der Waals,双电层"
K005,表面活性剂与胶束,表面活性剂,表面活性剂是同时含有亲水头基和疏水尾链的两亲分子。在水中超过临界胶束浓度(CMC)后自组装形成胶束。按头基类型分为阴离子型(如SDS)、阳离子型(如CTAB)、非离子型(如Triton X-100)和两性型(如卵磷脂)。,课程讲义,"表面活性剂,胶束,CMC,两亲分子,SDS,CTAB"
K006,牛顿流体与非牛顿流体,流变学,牛顿流体的粘度不随剪切速率变化(如水、甘油)。非牛顿流体包括: 剪切变稀(假塑性)流体(粘度随剪切速率增大而降低，如番茄酱)、剪切增稠(胀流性)流体(如玉米淀粉悬浮液)、宾汉流体(存在屈服应力，如牙膏)。,课程讲义,"牛顿流体,非牛顿流体,剪切变稀,剪切增稠,宾汉流体,屈服应力"
K007,剪切变稀现象,流变学,剪切变稀是非牛顿流体最常见的行为，表现为表观粘度随剪切速率增大而降低。在高分子溶液中，原因是高分子链沿流动方向取向排列，减少了链间缠结。日常例子包括洗发水、番茄酱和油漆的流动行为。,课程讲义,"剪切变稀,假塑性,粘度,高分子取向,缠结"
K008,触变性,流变学,触变性是指材料在剪切作用下结构被破坏(粘度降低)，静置后结构逐渐恢复(粘度升高)的时间依赖性行为。与单纯剪切变稀不同，触变性涉及时间维度。典型例子是酸奶: 搅拌后变稀，静置后恢复。,课程讲义,"触变性,时间依赖,结构恢复,剪切历史"
K009,水凝胶基础,水凝胶,水凝胶是能吸收大量水分而不溶解的三维交联网络。按交联方式分为: 物理交联(氢键、离子相互作用、疏水缔合)和化学交联(共价键)。物理交联水凝胶通常可自修复和可注射，化学交联水凝胶更稳定但不可逆。,课程讲义,"水凝胶,交联,物理交联,化学交联,自修复,可注射"
K010,乳液类型与稳定,乳液,乳液是两种不相溶液体形成的分散体系。水包油型(O/W)乳液如牛奶，油包水型(W/O)乳液如黄油。乳化剂降低界面张力并阻止液滴聚并。Pickering乳液使用固体粒子(如SiO2纳米粒子)代替传统表面活性剂稳定乳液。,课程讲义,"乳液,O/W,W/O,乳化剂,Pickering乳液,界面张力"
K011,液晶的基本分类,液晶,液晶是介于液体和晶体之间的中间态。按形成条件分为热致液晶和溶致液晶。按分子排列分为: 向列相(分子取向有序但位置无序)、近晶相(分子取向和层内位置有序)、胆甾相(分子排列呈螺旋结构，可选择性反射特定波长光)。,课程讲义,"液晶,向列相,近晶相,胆甾相,热致,溶致"
K012,自组装原理,基本概念,自组装是分子或纳米结构通过非共价相互作用(氢键、疏水作用、静电作用、van der Waals力等)自发形成有序结构的过程。驱动力是系统自由能最小化。典型例子: 表面活性剂形成胶束、脂质双分子层、嵌段共聚物微相分离。,课程讲义,"自组装,非共价相互作用,自由能最小化,胶束,微相分离"
K013,DLVO理论,胶体科学,DLVO(Deryaguin-Landau-Verwey-Overbeek)理论描述胶体粒子间的相互作用势能，是van der Waals吸引势和双电层排斥势的叠加。势能曲线有两个极小值(主极小和次极小)和一个势垒。势垒高度决定胶体稳定性。,课程讲义,"DLVO,van der Waals,双电层,势能曲线,胶体稳定性"
K014,嵌段共聚物微相分离,高分子科学,嵌段共聚物由两种或多种不相容的聚合物链段通过共价键连接。由于链段间不相容但被共价键束缚，会发生微相分离形成周期性纳米结构(球、柱、层、双连续等)。相结构取决于各嵌段的体积分数f和Flory-Huggins参数χ与聚合度N的乘积χN。,课程讲义,"嵌段共聚物,微相分离,纳米结构,χN,体积分数"
K015,蠕虫状胶束,表面活性剂,蠕虫状胶束是表面活性剂分子自组装形成的柔性棒状结构，类似柔性高分子链。它们在水中可以缠结形成瞬态网络，表现出类似高分子溶液的粘弹性。蠕虫状胶束的长度由弯曲能和端盖能的平衡决定，可被剪切断链和自修复。,课程讲义,"蠕虫状胶束,粘弹性,瞬态网络,柔性链,自修复"
K016,表面张力与界面能,基本概念,表面张力是液体表面层分子受内部分子吸引而产生的收缩趋势，单位为N/m或mN/m。Young方程描述接触角与各界面张力的关系: γ_SG = γ_SL + γ_LG cosθ。表面活性剂通过降低表面张力改变润湿性。,课程讲义,"表面张力,界面能,Young方程,接触角,润湿性"
K017,高分子溶液的 θ 条件,高分子科学,在θ条件下，高分子链的排斥体积效应为零，链的行为类似于理想链(高斯链)。θ温度是χ=0.5对应的温度。在良溶剂(χ<0.5)中链舒展，在不良溶剂(χ>0.5)中链塌缩。均方回转半径Rg与聚合度N的关系: Rg ~ N^ν，ν在θ条件下为0.5，良溶剂中为0.588。,课程讲义,"θ条件,θ温度,排斥体积,高斯链,良溶剂,不良溶剂"
K018,凝胶渗透色谱(GPC),表征方法,GPC/SEC是测定高分子分子量分布的标准方法。原理是不同大小的分子在多孔凝胶柱中的保留时间不同: 大分子先流出，小分子后流出。需要使用已知分子量的标准样品(如聚苯乙烯标准品)校准。可测得Mn、Mw和PDI。,课程讲义,"GPC,SEC,分子量分布,保留时间,校准曲线,PDI"
K019,流变测量基础,表征方法,流变测量研究材料的变形和流动行为。主要模式包括: 稳态剪切(测粘度曲线)、小振幅振荡剪切SAOS(测储能模量G'和损耗模量G'')、大振幅振荡剪切LAOS(测非线性响应)、蠕变与回复(测时间依赖行为)。G'>G''时材料表现为固体，G''>G'时表现为流体。,课程讲义,"流变测量,SAOS,G',G'',粘度,蠕变"
K020,SEM与TEM电子显微镜,表征方法,SEM(扫描电子显微镜)利用聚焦电子束扫描样品表面，通过二次电子成像观察表面形貌，分辨率可达nm级。TEM(透射电子显微镜)利用透射电子成像，可观察内部结构，分辨率更高(亚nm)。软物质样品通常需要冷冻或染色处理。,课程讲义,"SEM,TEM,电子显微镜,形貌,分辨率,冷冻"
K021,动态光散射(DLS),表征方法,DLS通过测量散射光强度的时间涨落来确定胶体粒子或多分子聚集体的扩散系数，从而计算流体力学半径Rh。适用于1nm-1μm范围的粒子。可获得粒径分布信息。对于多分散体系需要使用CONTIN算法反演。,课程讲义,"DLS,动态光散射,流体力学半径,扩散系数,粒径分布"
K022,小角X射线散射(SAXS),表征方法,SAXS用于表征1-100nm尺度的结构。通过分析散射强度I(q)与散射矢量q的关系获得结构信息。可用于测定纳米粒子尺寸、形状、胶束结构、嵌段共聚物微相分离周期等。Guinier分析可得到回转半径Rg。,课程讲义,"SAXS,小角散射,纳米结构,Guinier分析,回转半径"
K023,接触角测量,表征方法,接触角测量表征固体表面的润湿性。液滴与固体表面形成的夹角θ反映亲疏水性: θ<90°为亲水，θ>90°为疏水，θ>150°为超疏水。Young方程将接触角与各界面张力联系起来。可用于评价表面改性效果。,课程讲义,"接触角,润湿性,亲水,疏水,超疏水,表面改性"
K024,高分子的玻璃化转变温度,高分子科学,玻璃化转变温度Tg是高分子从玻璃态转变为高弹态的温度。Tg以下链段运动被冻结，材料呈硬而脆的玻璃态; Tg以上链段可以运动，材料呈软而韧的橡胶态。影响Tg的因素包括主链刚性、侧基体积、交联密度和增塑剂含量。常用DSC测定。,课程讲义,"玻璃化转变温度,Tg,链段运动,DSC,玻璃态,高弹态"
K025,聚合反应类型,高分子科学,主要聚合反应类型: 加成聚合(链式聚合，单体逐一加到活性链端，如乙烯聚合)、缩合聚合(逐步聚合，每步都生成小分子副产物，如聚酯合成)、开环聚合(环状单体开环后连接，如己内酰胺聚合)。活性聚合可精确控制分子量和PDI。,课程讲义,"加成聚合,缩合聚合,开环聚合,活性聚合,分子量控制"
K026,胶体粒子的Zeta电位,胶体科学,Zeta电位是胶体粒子剪切面处的电位，可通过电泳光散射测量。Zeta电位绝对值>30mV通常表示胶体体系稳定。pH值、离子强度和表面活性剂都会影响Zeta电位。等电点是Zeta电位为零时的pH值，此时胶体最不稳定。,课程讲义,"Zeta电位,电泳,胶体稳定性,等电点,离子强度"
K027,Pickering乳液,乳液,Pickering乳液是由固体粒子(而非传统表面活性剂)稳定的乳液。固体粒子吸附在油水界面上形成机械屏障阻止液滴聚并。常用粒子包括SiO2纳米粒子、粘土、淀粉颗粒和蛋白质聚集体。粒子的接触角决定乳液类型: 亲水粒子倾向稳定O/W，疏水粒子倾向稳定W/O。,课程讲义,"Pickering乳液,固体粒子,界面吸附,接触角,SiO2"
K028,高分子凝胶的溶胀行为,水凝胶,高分子凝胶的溶胀平衡由Flory-Rehner理论描述，是混合渗透压和弹性回缩力的平衡。交联密度越高溶胀度越低。在良溶剂中溶胀度大，不良溶剂中凝胶塌缩。聚N-异丙基丙烯酰胺(PNIPAM)在约32°C发生LCST相转变，由溶胀变为塌缩。,课程讲义,"凝胶溶胀,Flory-Rehner理论,渗透压,交联密度,PNIPAM,LCST"
K029,蛋白质作为软物质,生物软物质,蛋白质是天然的软物质，具有层次化结构(一级氨基酸序列、二级α螺旋和β折叠、三级三维折叠、四级多亚基组装)。蛋白质的自组装形成病毒外壳、淀粉样纤维等结构。蛋白质溶液的流变行为对生物加工很重要。,课程讲义,"蛋白质,层次结构,自组装,α螺旋,β折叠,淀粉样纤维"
K030,双亲分子的HLD方程,表面活性剂,HLD(Hydrophilic-Lipophilic Deviation)方程用于预测表面活性剂在油水体系中的相行为: HLD = ln(S) - k*ACN - α*ΔT + c_T + c_A。其中S为盐度，ACN为油相碳数，ΔT为温度偏移。HLD=0时表面活性剂亲水亲油平衡，形成最优微乳液。,课程讲义,"HLD方程,亲水亲油平衡,微乳液,盐度,ACN"
K031,增稠剂的流变调控,流变学,增稠剂通过不同机理调控体系流变行为: 高分子增稠剂(如卡波姆、HEC)通过链缠结增加粘度; 无机增稠剂(如膨润土)通过吸水膨胀和卡屋结构增稠; 纳米粒子增稠剂(如纳米纤维素)通过形成网络结构。不同增稠剂对剪切变稀和屈服应力的影响不同。,课程讲义,"增稠剂,卡波姆,膨润土,纳米纤维素,流变调控"
K032,表面活性剂的HLB值,表面活性剂,HLB(亲水-亲油平衡)值衡量表面活性剂的亲水性。HLB范围1-40: 低HLB(3-6)亲油，适合W/O乳液; 高HLB(8-18)亲水，适合O/W乳液。HLB=7附近适合润湿。HLB值可用Davies公式估算，但不如HLD方法精确。,课程讲义,"HLB值,亲水亲油平衡,乳化剂选择,Davies公式"
K033,刺激响应性高分子,智能材料,刺激响应性高分子能对外界刺激(pH、温度、光、电场、磁场、离子强度等)产生显著的结构或性质变化。典型例子: PNIPAM(温度响应，LCST约32°C)、聚丙烯酸(pH响应)、偶氮苯高分子(光响应)。在药物递送、传感器和智能涂层中有广泛应用。,课程讲义,"刺激响应性,PNIPAM,pH响应,光响应,智能材料"
