id,title,year,source,material_system,method,characterization,result_summary,keywords,data_source
L001,Curated example: PNIPAM-based thermo-responsive hydrogel swelling behavior,2022.0,教学示例(非真实PDF),聚N-异丙基丙烯酰胺(PNIPAM)水凝胶,"自由基聚合制备PNIPAM水凝胶，交联剂为N,N'-亚甲基双丙烯酰胺(BIS)",流变仪测量储能模量; DLS测量粒径; 称重法测量溶胀比,PNIPAM水凝胶在32°C附近发生LCST相转变，低温下溶胀比约15，高温下塌缩至约3。储能模量在LCST以下约500Pa，以上增大约一个数量级。,"PNIPAM,水凝胶,LCST,溶胀,温度响应",curated_example
L002,Curated example: SDS micelle structure studied by SANS,2021.0,教学示例(非真实PDF),十二烷基硫酸钠(SDS)/水体系,配制不同浓度的SDS水溶液，加入NaCl调节离子强度,小角中子散射(SANS)表征胶束结构; 电导率法测定CMC,在0.1M NaCl条件下，SDS形成半径约2.5nm的球形胶束，聚集数约70。加入盐后CMC从8.2mM降至1.5mM。高浓度下转变为蠕虫状胶束。,"SDS,胶束,SANS,CMC,聚集数",curated_example
L003,Curated example: PLA/PEG blend morphology and degradation,2023.0,教学示例(非真实PDF),聚乳酸(PLA)/聚乙二醇(PEG)共混物,溶液共混法制备PLA/PEG共混物薄膜，PEG含量5-30 wt%,DSC测量Tg和Tm; SEM观察断面形貌; 称重法测量降解率,PEG的加入降低了PLA的Tg(从60°C降至45°C)，提高了材料的柔韧性。PEG含量>15wt%时出现明显相分离。在PBS缓冲液中37°C降解60天后质量损失约20%。,"PLA,PEG,共混,Tg,生物降解",curated_example
L004,Curated example: SiO2 nanoparticle-stabilized Pickering emulsion,2022.0,教学示例(非真实PDF),SiO2纳米粒子/正辛烷/水体系,硅烷化处理SiO2粒子(接触角约90度)，高速乳化制备Pickering乳液,接触角测量; 光学显微镜观察液滴形貌; DLS测量粒径,硅烷化SiO2粒子可稳定O/W型Pickering乳液，液滴平均粒径约50μm。乳液在室温下稳定超过30天。粒子浓度从0.5wt%增至2wt%时液滴尺寸从80μm降至30μm。,"Pickering乳液,SiO2,硅烷化,稳定性",curated_example
L005,Curated example: Block copolymer PS-b-P4VP self-assembly thin film,2020.0,教学示例(非真实PDF),聚苯乙烯-b-聚4-乙烯基吡啶(PS-b-P4VP),旋涂法制备薄膜，退火处理(溶剂退火和热退火),AFM观察表面形貌; GISAXS测量周期结构,PS-b-P4VP在不同嵌段比下形成球形(15nm周期)、柱形(25nm周期)和层状(35nm周期)结构。THF溶剂退火比热退火获得更好的长程有序性。,"嵌段共聚物,PS-b-P4VP,自组装,薄膜,退火",curated_example
L006,Curated example: Worm-like micelle rheology in CTAB/NaSal system,2021.0,教学示例(非真实PDF),十六烷基三甲基溴化铵(CTAB)/水杨酸钠(NaSal)体系,配制CTAB/NaSal水溶液，CTAB浓度50-200mM，NaSal与CTAB摩尔比0.5,旋转流变仪测量稳态和动态流变行为,CTAB/NaSal体系形成蠕虫状胶束，表现出明显的剪切变稀和粘弹性。零剪切粘度随CTAB浓度快速增大(η0~c^3.5)。Maxwell模型拟合得到单一松弛时间，表明线性蠕虫状胶束行为。,"蠕虫状胶束,CTAB,NaSal,粘弹性,Maxwell模型",curated_example
L007,Curated example: Polyacrylamide hydrogel with high toughness,2023.0,教学示例(非真实PDF),聚丙烯酰胺(PAM)/聚乙烯醇(PVA)双网络水凝胶,两步法制备双网络凝胶: 第一网络PAM化学交联，第二网络PVA物理交联(冻融循环),万能试验机拉伸测试; 流变仪测量力学性能; SEM观察网络结构,双网络凝胶的断裂伸长率约2000%，拉伸强度约2MPa，远高于单网络PAM凝胶(断裂伸长率约500%，强度约0.1MPa)。能量耗散机制为第一网络的牺牲键断裂。,"双网络水凝胶,PAM,PVA,韧性,牺牲键",curated_example
L008,Curated example: Graphene oxide liquid crystal behavior,2020.0,教学示例(非真实PDF),氧化石墨烯(GO)水分散液,改良Hummers法制备GO纳米片，配制不同浓度的水分散液,偏光显微镜观察液晶织构; XRD测量层间距; 流变仪测量粘弹性,GO分散液在浓度约0.5wt%时出现向列型液晶相，偏光下可观察到特征指纹织构。临界浓度与GO纳米片的纵横比有关。液晶相表现出明显的剪切取向行为。,"氧化石墨烯,液晶,向列相,偏光显微镜",curated_example
L009,Curated example: Cellulose nanocrystal film iridescence,2022.0,教学示例(非真实PDF),纤维素纳米晶(CNC)悬浮液,硫酸水解法制备CNC，蒸发诱导自组装制备手性向列型薄膜,偏光显微镜; UV-Vis光谱; SEM; 圆二色谱,CNC悬浮液蒸发自组装形成手性向列型结构，薄膜呈现虹彩结构色。反射波长由螺距决定，可通过CNC浓度和添加剂(如NaCl、PEG)调控。薄膜干燥后螺距约200nm。,"纤维素纳米晶,手性向列,结构色,自组装",curated_example
L010,Curated example: Responsive microgel colloidal crystal,2021.0,教学示例(非真实PDF),PNIPAM微凝胶胶体晶体,乳液聚合法制备单分散PNIPAM微凝胶，自组装形成胶体晶体,DLS测量粒径; UV-Vis反射光谱; 光学显微镜,单分散PNIPAM微凝胶(26°C时粒径约300nm)自组装形成面心立方胶体晶体，呈现明亮结构色。温度从25°C升至35°C时，微凝胶收缩(粒径降至约150nm)，光子带隙蓝移，薄膜颜色从红色变为蓝色。,"PNIPAM微凝胶,胶体晶体,结构色,温度响应",curated_example
L011,Curated example: CNT/PDMS conductive composite strain sensor,2023.0,教学示例(非真实PDF),碳纳米管(CNT)/聚二甲基硅氧烷(PDMS)复合材料,溶液混合法制备CNT/PDMS复合材料，CNT含量0.5-5wt%,四探针法测电阻率; 万能试验机测力学性能; 循环拉伸测传感稳定性,CNT/PDMS复合材料在CNT含量约1wt%时达到渗流阈值，电阻率从10^12降至10^4 Ω·cm。复合材料在0-50%应变范围内GF(gauge factor)约5，可用于柔性应变传感器。,"CNT,PDMS,导电复合材料,渗流阈值,应变传感器",curated_example
