id,material,concentration,process,temperature,time,characterization,result,safety_level,source,is_example
R001,聚N-异丙基丙烯酰胺(PNIPAM)水凝胶,NIPAM单体10wt%，BIS交联剂0.5wt%,自由基聚合，APS引发，TEMED催化，氮气保护,25°C引发聚合,聚合反应24小时,流变仪测G'/G''，DLS测粒径，称重法测溶胀比,制得透明水凝胶，32°C附近发生LCST转变，溶胀比约15:1,low,课程实验讲义,true
R002,SDS胶束溶液,SDS 50mM，NaCl 100mM,磁力搅拌溶解SDS于去离子水中，加入NaCl调节离子强度,25°C,搅拌1小时直至完全溶解,电导率法测CMC，DLS测粒径,形成球形胶束，平均直径约5nm，CMC约1.5mM(含盐),low,课程实验讲义,true
R003,聚乙烯醇(PVA)水凝胶,PVA 10wt%(分子量约89000),PVA溶于去离子水(90°C加热溶解)，冻融循环法交联,-20°C冷冻，25°C解冻,每次冻融循环: 冷冻12小时+解融4小时，共3-5个循环,流变仪测力学性能，称重法测含水率,制得白色不透明水凝胶，3次冻融后G'约10kPa，含水率约85%,low,课程实验讲义,true
R004,CTAB蠕虫状胶束溶液,CTAB 100mM，NaSal 50mM,先溶解CTAB，再加入NaSal，缓慢搅拌避免产生气泡,25°C,搅拌4小时，静置过夜,旋转流变仪测稳态和振荡流变,形成蠕虫状胶束网络，零剪切粘度约50Pa·s，表现出Maxwell流体行为,medium,课程实验讲义,true
R005,壳聚糖/甘油磷酸钠温敏凝胶,壳聚糖 2wt%，β-甘油磷酸钠 5.6wt%,壳聚糖溶于0.1M HCl，冷却后缓慢加入β-甘油磷酸钠溶液,4°C配制，37°C凝胶化,配制后4°C保存，升温至37°C后约30分钟凝胶化,流变仪测温度扫描，倒置法验证凝胶化,室温下为溶液态，37°C下转变为半透明凝胶，G'约500Pa,low,课程实验讲义,true
R006,SiO2纳米粒子Pickering乳液,SiO2纳米粒子 1wt%，正辛烷 30vol%,硅烷化SiO2粒子分散于水中，加入油相，高速乳化(10000rpm),25°C,乳化10分钟,光学显微镜观察液滴，接触角测量，稳定性观察,形成O/W型乳液，液滴平均直径约50μm，室温下稳定>30天,low,课程实验讲义,true
R007,聚苯乙烯微球(乳液聚合),苯乙烯单体 10vol%，SDS 0.5wt%，KPS引发剂 0.3wt%,乳液聚合法: SDS溶于水，加入苯乙烯单体，预乳化后升温引发聚合,70°C聚合,聚合反应8小时,DLS/SEM测粒径，Zeta电位,制得单分散PS微球，平均直径约300nm，PDI<0.05，Zeta电位约-40mV,medium,课程实验讲义,true
R008,聚丙烯酰胺/聚乙烯醇双网络水凝胶,AM单体 2M，BIS 0.5mol%(相对AM)，PVA 5wt%,两步法: 先光引发聚合PAM第一网络，再浸泡PVA溶液后冻融形成第二网络,紫外光引发室温聚合,紫外照射30分钟，冻融循环3次,万能试验机拉伸测试，流变测量,双网络凝胶断裂伸长率>1500%，拉伸强度约1.5MPa,medium,课程实验讲义,true
R009,纤维素纳米晶(CNC)悬浮液,CNC 3wt%水悬浮液,"硫酸水解微晶纤维素(64wt% H2SO4, 45°C)，稀释终止反应，透析纯化",水解45°C,水解反应45分钟，透析3天(换水多次),TEM测粒径，偏光显微镜观察液晶态，Zeta电位,制得棒状CNC(长约200nm，直径约15nm)，分散液呈乳光，高浓度下出现手性向列液晶,high,课程实验讲义,true
R010,聚乳酸(PLA)薄膜,PLA 10wt%(溶于氯仿),溶液浇铸法: PLA溶于氯仿，倒入培养皿中，通风橱内蒸发溶剂,25°C通风橱中蒸发,溶剂蒸发24小时,DSC测Tg和Tm，拉伸测试,制得透明PLA薄膜，Tg约58°C，Tm约170°C，拉伸强度约50MPa,medium,课程实验讲义,true
