id,question,expected_answer,category,difficulty,data_source
Q001,什么是剪切变稀？为什么洗发水和番茄酱会表现出类似行为？,剪切变稀是指流体的表观粘度随剪切速率增大而降低的现象。洗发水中的高分子增稠剂在静止时形成缠结网络，剪切时链沿流动方向取向，缠结减少，粘度降低。番茄酱中的果胶网络在剪切下被破坏，释放出被捕获的水分，降低了有效粘度。,流变学,easy,curated_example
Q002,解释胶体稳定性的DLVO理论，并说明如何通过Zeta电位判断胶体稳定性。,DLVO理论认为胶体粒子间的总相互作用势能是van der Waals吸引势和双电层排斥势的叠加。当Zeta电位绝对值大于30mV时，双电层排斥力足以克服van der Waals吸引力，胶体体系通常是稳定的。加入电解质会压缩双电层，降低排斥势垒，导致聚沉。,胶体科学,medium,curated_example
Q003,比较物理交联水凝胶和化学交联水凝胶的优缺点。,物理交联水凝胶: 优点是可自修复、可注射、生物降解性好、无需化学引发剂; 缺点是力学强度较低、稳定性较差。化学交联水凝胶: 优点是力学强度高、稳定性好、溶胀行为可预测; 缺点是不可逆、降解困难、可能有未反应交联剂残留。,水凝胶,easy,curated_example
Q004,嵌段共聚物在什么条件下会形成柱状微相分离结构？,嵌段共聚物的微相分离结构取决于χN(相互作用参数与聚合度的乘积)和各嵌段的体积分数f。当χN>10.5(强分离极限)且某一嵌段的体积分数f在约0.2-0.35范围内时，形成柱状结构。在弱分离极限(χN约10.5-20)附近，相图边界略有不同。,高分子科学,hard,curated_example
Q005,Pickering乳液与传统表面活性剂稳定的乳液有何区别？,Pickering乳液由固体粒子(如SiO2纳米粒子)稳定，传统乳液由表面活性剂稳定。Pickering乳液的优势: 热力学更稳定(粒子脱附能高)、无表面活性剂残留(食品和化妆品友好)、稳定性好。缺点是粒子制备和功能化成本较高。粒子的接触角决定乳液类型。,乳液,easy,curated_example
Q006,解释PNIPAM水凝胶的LCST行为及其应用。,PNIPAM在约32°C(低临界溶解温度LCST)发生亲水-疏水转变。低于LCST时PNIPAM链与水形成氢键，水凝胶溶胀; 高于LCST时疏水相互作用占主导，凝胶塌缩排出水分。应用包括: 温度响应药物释放、智能阀门、细胞片层回收和温度传感器。,智能材料,medium,curated_example
Q007,高分子溶液的Flory-Huggins相互作用参数χ的物理意义是什么？,χ参数反映高分子链段与溶剂分子间的相互作用与同种分子间相互作用的差异。χ<0.5时，高分子-溶剂相互作用有利(良溶剂)，溶液混合性好。χ=0.5是θ条件，排斥体积效应为零。χ>0.5时高分子-溶剂相互作用不利(不良溶剂)，倾向于相分离。χ=kT·z·Δw/(kT)与交换能有关。,高分子科学,medium,curated_example
Q008,如何用流变学方法区分粘弹性固体和粘弹性流体？,通过小振幅振荡剪切(SAOS)测试: 在宽频率范围内测量储能模量G'和损耗模量G''。粘弹性固体: G'>G''在整个频率范围内，低频区G'趋于平台值(不趋于零)。粘弹性流体: 低频区G''>G'(流动主导)，高频区G'>G''(弹性主导)，存在G'=G''的交叉频率(反比于松弛时间)。,流变学,medium,curated_example
Q009,什么是凝胶渗透色谱(GPC)的原理？它能提供哪些分子量信息？,GPC/SEC的原理是基于体积排阻: 多孔凝胶填料中的孔洞只允许小于一定尺寸的分子进入，大分子先流出，小分子后流出。通过标准品校准保留时间-分子量关系，可得到数均分子量Mn、重均分子量Mw、Z均分子量Mz和多分散性指数PDI=Mw/Mn，以及完整的分子量分布曲线。,表征方法,easy,curated_example
Q010,对比加成聚合和缩合聚合的主要区别。,加成聚合: 链式反应机理，活性中心(自由基、离子)逐一加成单体，不生成小分子副产物，高分子量产物在低转化率时就已形成。缩合聚合: 逐步反应机理，任何两个带有可反应官能团的分子都可反应，每步生成小分子(如水)，高分子量产物仅在高转化率(>99%)时形成。,高分子科学,easy,curated_example
Q011,解释为什么玉米淀粉和水的混合物在快速搅拌时变硬(剪切增稠)。,玉米淀粉悬浮液是剪切增稠(胀流性)流体。在低剪切速率下，淀粉粒子间有足够的水作为润滑层，粒子可以相互滑动。高剪切速率下，粒子被迫紧密堆积，水被挤出粒子间隙，粒子直接接触形成摩擦阻塞(jamming)，宏观表现为粘度急剧增大甚至固体化。,流变学,medium,curated_example
